"Client Name","MAC Address","IP Address","SSID","Authentication Type","Voucher Code","Download (Bytes)","Upload (Bytes)","Total Usage (Bytes)","First Connected","Last Seen","AP Name"
"User-Laptop-01","00:11:22:33:44:55","192.168.10.101","NRO-GuestWiFi","Voucher","BOT-VCH-8821","18250000000","2150000000","20400000000","2026-08-01 08:30:00","2026-08-10 17:45:00","AP-Floor1-North"
"User-Laptop-02","AA:BB:CC:DD:EE:FF","192.168.10.102","NRO-GuestWiFi","Voucher","BOT-VCH-8821","1240000000","180000000","1420000000","2026-08-02 09:15:00","2026-08-12 16:30:00","AP-Floor1-South"
"iPhone-Guest-03","11:22:33:44:55:66","192.168.10.103","NRO-GuestWiFi","Voucher","BOT-VCH-9042","4200000000","510000000","4710000000","2026-08-03 10:00:00","2026-08-03 12:30:00","AP-Floor2-East"
"Android-Device-04","22:33:44:55:66:77","192.168.10.104","NRO-GuestWiFi","Voucher","BOT-VCH-9042","15300000000","1700000000","17000000000","2026-08-05 11:20:00","2026-08-25 18:10:00","AP-Floor2-West"
"iPad-BOT-05","33:44:55:66:77:88","192.168.10.105","NRO-GuestWiFi","Voucher","BOT-VCH-1105","8900000000","950000000","9850000000","2026-08-06 09:00:00","2026-08-15 15:00:00","AP-Floor1-North"
"ThinkPad-Staff-06","44:55:66:77:88:99","192.168.10.106","NRO-GuestWiFi","Voucher","BOT-VCH-1105","32100000000","4200000000","36300000000","2026-08-07 08:45:00","2026-08-28 17:00:00","AP-Floor3-Meeting"
"MacBook-Pro-07","55:66:77:88:99:AA","192.168.10.107","NRO-GuestWiFi","Voucher","BOT-VCH-2219","24500000000","3100000000","27600000000","2026-08-10 10:30:00","2026-08-29 16:45:00","AP-Floor3-Meeting"
"Samsung-S24-08","66:77:88:99:AA:BB","192.168.10.108","NRO-GuestWiFi","Voucher","BOT-VCH-2219","6700000000","820000000","7520000000","2026-08-11 13:15:00","2026-08-18 14:20:00","AP-Floor2-East"
"Pixel-Phone-09","77:88:99:AA:BB:CC","192.168.10.109","NRO-GuestWiFi","Voucher","BOT-VCH-3350","14200000000","1850000000","16050000000","2026-08-15 09:10:00","2026-08-30 17:50:00","AP-Floor1-South"
"Dell-Latitude-10","88:99:AA:BB:CC:DD","192.168.10.110","NRO-GuestWiFi","Voucher","BOT-VCH-3350","28900000000","3500000000","32400000000","2026-08-16 08:20:00","2026-08-31 18:00:00","AP-Floor2-West"
